game,turn,phase,player,legal_moves_count,best_winrate,second_winrate,worst_winrate,best_second_gap,best_worst_gap,selected_move,selected_winrate
10,7,1,F,163,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=2,piece_index=7,direction1=Z,direction2=Y",
10,8,1,G,109,1.0,0.75,0.0,0.25,1.0,"put,x=1,y=0,piece_index=8,direction1=Z,direction2=Y",0.5
10,9,1,F,49,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=1,piece_index=4,direction1=Z,direction2=Y",
10,10,2,F,547,1.0,1.0,0.5,0.0,0.5,"put,x=2,y=2,piece_index=4,direction1=Z,direction2=X",
10,11,2,G,544,0.5,0.5,0.0,0.0,0.5,"put,x=1,y=1,piece_index=0,direction1=X,direction2=Y",
10,12,2,F,373,1.0,1.0,0.5,0.0,0.5,"put,x=0,y=1,piece_index=5,direction1=X,direction2=Z",
10,13,2,G,378,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=1,piece_index=6,direction1=X,direction2=Z",
10,14,2,F,231,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=0,piece_index=0,direction1=Z,direction2=Y,down_direction=Y",
10,15,2,G,228,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=2,piece_index=4,direction1=Y,direction2=Z",
10,16,2,F,121,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=0,piece_index=2,direction1=Z,direction2=X,down_direction=X",
10,17,2,G,100,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=0,piece_index=2,direction1=Y,direction2=Z,down_direction=Y",
10,18,2,F,31,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=2,piece_index=1,direction1=Y,direction2=X",1.0
10,19,3,G,312,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=2,piece_index=0,direction1=Y,direction2=Z",
10,20,3,F,140,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=0,piece_index=1,direction1=X,direction2=Y",
10,21,3,G,180,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=2,piece_index=1,direction1=X,direction2=Z",
10,22,3,F,50,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=1,piece_index=0,direction1=X,direction2=Y",1.0
10,23,3,G,88,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=0,piece_index=0,direction1=Y,direction2=Z,down_direction=Y",
10,24,3,G,34,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=2,piece_index=0,direction1=Z,direction2=X,down_direction=X",0.0
