game_id,decision_no,player,phase,empty_cells,legal_actions,action_kind,x,y,direction1,direction2,down_direction,ai,evaluated_candidates,selected_win_rate,selected_score_margin,best_win_rate,second_best_win_rate,best_win_rate_gap
10,15,G,2,4,192,put,2,1,Y,X,,monte_carlo,24,1.0,9.8,1.0,1.0,0.0
10,16,F,2,3,97,put,0,1,Z,X,,random,,,,,,
10,17,G,2,2,80,put,1,0,Y,X,,monte_carlo,24,1.0,10.7,1.0,1.0,0.0
10,18,F,2,1,25,put,1,2,Y,X,,random,,,,,,
10,19,G,3,9,312,put,0,2,Z,Y,Y,monte_carlo,24,1.0,10.7,1.0,1.0,0.0
10,20,F,3,8,136,put,1,0,Y,Z,Y,random,,,,,,
10,21,G,3,7,180,put,2,1,Y,Z,,monte_carlo,24,1.0,11.8,1.0,1.0,0.0
10,22,F,3,6,52,put,0,0,Z,X,X,random,,,,,,
10,23,G,3,5,84,put,2,0,X,Z,,monte_carlo,24,1.0,12.7,1.0,1.0,0.0
10,24,G,3,4,32,put,1,1,Y,X,,monte_carlo,24,1.0,13.0,1.0,1.0,0.0
11,1,F,1,9,649,put,1,0,Z,Y,,random,,,,,,
11,2,G,1,8,577,put,2,0,X,Z,,monte_carlo,24,0.75,1.6,0.75,0.75,0.0
11,3,F,1,7,463,put,0,1,Z,X,,random,,,,,,
11,4,G,1,6,397,put,1,1,Y,Z,,monte_carlo,24,0.65,0.7,0.65,0.6,0.050000000000000044
11,5,F,1,5,301,put,0,0,X,Y,,random,,,,,,
11,6,G,1,4,241,put,1,2,X,Z,,monte_carlo,24,1.0,4.8,1.0,0.9,0.09999999999999998
11,7,F,1,3,163,put,2,2,X,Y,,random,,,,,,
11,8,G,1,2,109,put,2,1,Z,Y,,monte_carlo,24,0.85,3.2,0.85,0.8,0.04999999999999993
11,9,F,1,1,49,put,0,2,Z,X,,random,,,,,,
11,10,F,2,9,547,put,2,0,Y,X,,random,,,,,,
11,11,G,2,8,544,put,0,1,Z,X,X,monte_carlo,24,0.85,3.0,0.85,0.85,0.0
11,12,F,2,7,361,put,2,2,Z,Y,Y,random,,,,,,
11,13,G,2,6,350,put,0,0,Z,Y,,monte_carlo,24,1.0,4.6,1.0,1.0,0.0
11,14,F,2,5,201,put,1,0,Y,Z,Y,random,,,,,,
11,15,G,2,4,192,put,2,1,Y,X,,monte_carlo,24,1.0,4.9,1.0,1.0,0.0
11,16,F,2,3,97,put,1,2,Y,Z,Y,random,,,,,,
11,17,G,2,2,80,put,0,2,X,Z,,monte_carlo,24,1.0,8.0,1.0,1.0,0.0
11,18,F,2,1,19,put,1,1,Z,Y,,random,,,,,,
11,19,G,3,9,312,put,2,0,X,Z,,monte_carlo,24,1.0,8.0,1.0,1.0,0.0
11,20,F,3,8,136,put,1,0,X,Y,,random,,,,,,
11,21,G,3,7,180,put,2,2,Z,Y,Y,monte_carlo,24,1.0,8.7,1.0,1.0,0.0
11,22,F,3,6,50,put,0,1,Z,X,,random,,,,,,
11,23,G,3,5,84,put,2,1,X,Z,X,monte_carlo,24,1.0,10.1,1.0,1.0,0.0
11,24,G,3,4,34,put,1,2,X,Y,,monte_carlo,24,1.0,11.0,1.0,1.0,0.0
12,1,F,1,9,649,put,2,1,Y,X,,random,,,,,,
12,2,G,1,8,577,put,0,0,Z,Y,,monte_carlo,24,0.8,2.0,0.8,0.7,0.10000000000000009
12,3,F,1,7,463,put,2,2,Y,Z,,random,,,,,,
12,4,G,1,6,397,put,1,2,X,Y,,monte_carlo,24,0.8,1.4,0.8,0.75,0.050000000000000044
12,5,F,1,5,301,put,0,2,Z,X,,random,,,,,,
12,6,G,1,4,241,put,1,1,Y,X,,monte_carlo,24,0.75,3.0,0.75,0.65,0.09999999999999998
12,7,F,1,3,163,put,1,0,Z,X,,random,,,,,,
12,8,G,1,2,109,put,0,1,Y,Z,,monte_carlo,24,1.0,7.1,1.0,1.0,0.0
12,9,F,1,1,49,put,2,0,X,Z,,random,,,,,,
12,10,F,2,9,547,put,2,0,Z,Y,,random,,,,,,
12,11,G,2,8,544,put,1,0,Z,X,,monte_carlo,24,1.0,7.7,1.0,1.0,0.0
12,12,F,2,7,361,put,0,1,Z,X,X,random,,,,,,
12,13,G,2,6,364,put,2,2,Y,Z,,monte_carlo,24,1.0,6.5,1.0,1.0,0.0
12,14,F,2,5,211,put,0,0,Y,Z,,random,,,,,,
12,15,G,2,4,192,put,1,1,Y,X,,monte_carlo,24,1.0,6.6,1.0,1.0,0.0
12,16,F,2,3,105,put,1,2,Z,Y,,random,,,,,,
12,17,G,2,2,90,put,2,1,Z,Y,,monte_carlo,24,1.0,7.0,1.0,1.0,0.0
12,18,F,2,1,31,put,0,2,X,Z,,random,,,,,,
12,19,G,3,9,312,put,1,2,X,Z,,monte_carlo,24,1.0,6.9,1.0,1.0,0.0
12,20,F,3,8,140,put,1,0,Y,Z,,random,,,,,,
12,21,G,3,7,186,put,0,0,X,Z,,monte_carlo,24,1.0,7.2,1.0,1.0,0.0
12,22,F,3,6,52,put,2,2,Y,Z,,random,,,,,,
12,23,G,3,5,84,put,0,2,X,Z,X,monte_carlo,24,1.0,7.9,1.0,1.0,0.0
12,24,G,3,4,32,put,1,1,X,Y,,monte_carlo,24,1.0,9.0,1.0,1.0,0.0
13,1,F,1,9,649,put,2,0,Y,Z,,random,,,,,,
13,2,G,1,8,577,put,0,0,Z,Y,,monte_carlo,24,0.75,1.8,0.75,0.7,0.050000000000000044
13,3,F,1,7,463,put,1,2,X,Z,,random,,,,,,
13,4,G,1,6,397,put,1,1,Y,Z,,monte_carlo,24,0.95,3.0,0.95,0.9,0.04999999999999993
13,5,F,1,5,301,put,0,1,Y,Z,,random,,,,,,
13,6,G,1,4,241,put,2,2,Z,X,,monte_carlo,24,1.0,7.0,1.0,1.0,0.0
13,7,F,1,3,163,put,0,2,Y,X,,random,,,,,,
13,8,G,1,2,109,end_phase,,,,,,monte_carlo,24,1.0,7.0,1.0,1.0,0.0
13,9,F,2,9,625,put,2,2,X,Z,,random,,,,,,
13,10,G,2,8,612,put,1,1,X,Z,,monte_carlo,24,1.0,7.1,1.0,1.0,0.0
13,11,F,2,7,435,put,2,1,Y,X,,random,,,,,,
13,12,G,2,6,432,put,1,2,X,Y,,monte_carlo,24,1.0,7.8,1.0,1.0,0.0
13,13,F,2,5,277,put,0,0,Z,Y,Y,random,,,,,,
13,14,G,2,4,252,put,0,2,Z,X,X,monte_carlo,24,1.0,9.4,1.0,1.0,0.0
13,15,F,2,3,131,put,1,0,X,Y,,random,,,,,,
13,16,G,2,2,108,put,0,1,Y,X,,monte_carlo,24,1.0,9.0,1.0,1.0,0.0
13,17,F,2,1,41,put,2,0,X,Y,,random,,,,,,
